Code,Scope,n,Observed agreement,Expected agreement,Cohen's κ
AC,Formal corpus,2305,0.9983,0.8871,0.9846
RC,Formal corpus,2305,0.9831,0.8931,0.8417
Rep,Formal corpus,2305,0.9879,0.4624,0.9774
Rep-LM,Formal corpus,2305,1.0000,0.9948,1.0000
AD,Formal corpus,2305,0.9974,0.9931,0.6239
CB,Formal corpus,2305,1.0000,1.0000,Not estimable
SRF,Formal corpus,2305,0.9970,0.4609,0.9944
CI,Formal probe only,65,0.9077,0.4746,0.8243
AT,Formal probe only,65,0.8769,0.1780,0.8503
CQ,Formal probe only,65,0.9846,0.3860,0.9749
EVAL,Formal probe only,65,0.8769,0.5101,0.7488
SRF-subtype,Both coders assigned SRF-2,101,0.8713,0.8446,0.1716
SRF-hierarchical,Formal corpus,2305,0.9913,0.4606,0.9839
SRF-subtype + eligibility,Either coder assigned SRF-2,105,0.8381,0.7927,0.2192
