Model,Data Stage,Item ID,Run,Coder 1 AC,Coder 2 AC,Coder 1 RC,Coder 2 RC,Coder 1 Rep,Coder 2 Rep,Coder 1 Rep-LM,Coder 2 Rep-LM,Coder 1 AD,Coder 2 AD,Coder 1 CB,Coder 2 CB,Coder 1 SRF,Coder 2 SRF,Coder 1 SRF-sub,Coder 2 SRF-sub,Coder 1 CI,Coder 2 CI,Coder 1 AT,Coder 2 AT,Coder 1 CQ,Coder 2 CQ,Coder 1 EVAL,Coder 2 EVAL
Claude Opus 4.6,main item,BEMA-01,1,AC-1,AC-1,RC-1,RC-1,Rep-1,Rep-1,0,0,AD-3,AD-3,CB-4,CB-4,SRF-1,SRF-1,,,,,,,,,,
Claude Opus 4.6,main item,BEMA-01,2,AC-1,AC-1,RC-1,RC-1,Rep-1,Rep-1,0,0,AD-3,AD-3,CB-4,CB-4,SRF-1,SRF-1,,,,,,,,,,
Claude Opus 4.6,main item,BEMA-01,3,AC-1,AC-1,RC-1,RC-1,Rep-1,Rep-1,0,0,AD-3,AD-3,CB-4,CB-4,SRF-1,SRF-1,,,,,,,,,,
Claude Opus 4.6,main item,BEMA-01,4,AC-1,AC-1,RC-1,RC-1,Rep-1,Rep-1,0,0,AD-3,AD-3,CB-4,CB-4,SRF-1,SRF-1,,,,,,,,,,
Claude Opus 4.6,main item,BEMA-01,5,AC-1,AC-1,RC-1,RC-1,Rep-1,Rep-1,0,0,AD-3,AD-3,CB-4,CB-4,SRF-1,SRF-1,,,,,,,,,,
Claude Opus 4.6,main item,BEMA-02,1,AC-1,AC-1,RC-1,RC-1,Rep-1,Rep-1,0,0,AD-3,AD-3,CB-4,CB-4,SRF-1,SRF-1,,,,,,,,,,
Claude Opus 4.6,main item,BEMA-02,2,AC-1,AC-1,RC-1,RC-1,Rep-1,Rep-1,0,0,AD-3,AD-3,CB-4,CB-4,SRF-1,SRF-1,,,,,,,,,,
Claude Opus 4.6,main item,BEMA-02,3,AC-1,AC-1,RC-1,RC-1,Rep-1,Rep-1,0,0,AD-3,AD-3,CB-4,CB-4,SRF-1,SRF-1,,,,,,,,,,
Claude Opus 4.6,main item,BEMA-02,4,AC-1,AC-1,RC-1,RC-1,Rep-1,Rep-1,0,0,AD-3,AD-3,CB-4,CB-4,SRF-1,SRF-1,,,,,,,,,,
Claude Opus 4.6,main item,BEMA-02,5,AC-1,AC-1,RC-1,RC-1,Rep-1,Rep-1,0,0,AD-3,AD-3,CB-4,CB-4,SRF-1,SRF-1,,,,,,,,,,
Claude Opus 4.6,main item,BEMA-03,1,AC-1,AC-1,RC-1,RC-1,Rep-1,Rep-1,0,0,AD-3,AD-3,CB-4,CB-4,SRF-1,SRF-1,,,,,,,,,,
Claude Opus 4.6,main item,BEMA-03,2,AC-1,AC-1,RC-1,RC-1,Rep-1,Rep-1,0,0,AD-3,AD-3,CB-4,CB-4,SRF-1,SRF-1,,,,,,,,,,
Claude Opus 4.6,main item,BEMA-03,3,AC-1,AC-1,RC-1,RC-1,Rep-1,Rep-1,0,0,AD-3,AD-3,CB-4,CB-4,SRF-1,SRF-1,,,,,,,,,,
Claude Opus 4.6,main item,BEMA-03,4,AC-1,AC-1,RC-1,RC-1,Rep-1,Rep-1,0,0,AD-3,AD-3,CB-4,CB-4,SRF-1,SRF-1,,,,,,,,,,
Claude Opus 4.6,main item,BEMA-03,5,AC-1,AC-1,RC-1,RC-1,Rep-1,Rep-1,0,0,AD-3,AD-3,CB-4,CB-4,SRF-1,SRF-1,,,,,,,,,,
Claude Opus 4.6,main item,BEMA-04,1,AC-2,AC-2,RC-2,RC-2,Rep-3,Rep-2,0,0,AD-3,AD-3,CB-4,CB-4,SRF-2,SRF-2,V,V,,,,,,,,
Claude Opus 4.6,main item,BEMA-04,2,AC-1,AC-1,RC-1,RC-1,Rep-1,Rep-1,0,0,AD-3,AD-3,CB-4,CB-4,SRF-1,SRF-1,,,,,,,,,,
Claude Opus 4.6,main item,BEMA-04,3,AC-2,AC-2,RC-2,RC-2,Rep-3,Rep-2,0,0,AD-3,AD-3,CB-4,CB-4,SRF-2,SRF-2,V,V,,,,,,,,
Claude Opus 4.6,main item,BEMA-04,4,AC-1,AC-1,RC-1,RC-1,Rep-1,Rep-1,0,0,AD-3,AD-3,CB-4,CB-4,SRF-1,SRF-1,,,,,,,,,,
