"Model","Item ID","Item Label","Inventory","Run","AC","Outcome"
"Claude Opus 4.6","FCI-07","FCI Q7","FCI",1,"AC-1","Correct"
"Claude Opus 4.6","FCI-07","FCI Q7","FCI",2,"AC-1","Correct"
"Claude Opus 4.6","FCI-07","FCI Q7","FCI",3,"AC-1","Correct"
"Claude Opus 4.6","FCI-07","FCI Q7","FCI",4,"AC-1","Correct"
"Claude Opus 4.6","FCI-07","FCI Q7","FCI",5,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-07","FCI Q7","FCI",5,"AC-1","Correct"
"GPT-5.5","FCI-07","FCI Q7","FCI",5,"AC-1","Correct"
"Kimi K2.6","FCI-07","FCI Q7","FCI",5,"AC-2","Completed wrong"
"Gemini 3.1 Pro Preview","FCI-07","FCI Q7","FCI",3,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-07","FCI Q7","FCI",4,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-07","FCI Q7","FCI",1,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-07","FCI Q7","FCI",2,"AC-1","Correct"
"GPT-5.5","FCI-07","FCI Q7","FCI",1,"AC-1","Correct"
"GPT-5.5","FCI-07","FCI Q7","FCI",2,"AC-1","Correct"
"GPT-5.5","FCI-07","FCI Q7","FCI",4,"AC-1","Correct"
"Kimi K2.6","FCI-07","FCI Q7","FCI",4,"AC-1","Correct"
"GPT-5.5","FCI-07","FCI Q7","FCI",3,"AC-1","Correct"
"Kimi K2.6","FCI-07","FCI Q7","FCI",3,"AC-1","Correct"
"Kimi K2.6","FCI-07","FCI Q7","FCI",1,"AC-2","Completed wrong"
"Kimi K2.6","FCI-07","FCI Q7","FCI",2,"AC-2","Completed wrong"
"Claude Opus 4.6","FCI-08","FCI Q8","FCI",4,"AC-1","Correct"
"Claude Opus 4.6","FCI-08","FCI Q8","FCI",5,"AC-1","Correct"
"Kimi K2.6","FCI-08","FCI Q8","FCI",5,"AC-3","DNF"
"Gemini 3.1 Pro Preview","FCI-08","FCI Q8","FCI",3,"AC-1","Correct"
"Claude Opus 4.6","FCI-08","FCI Q8","FCI",3,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-08","FCI Q8","FCI",2,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-08","FCI Q8","FCI",5,"AC-1","Correct"
"GPT-5.5","FCI-08","FCI Q8","FCI",5,"AC-1","Correct"
"Kimi K2.6","FCI-08","FCI Q8","FCI",4,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-08","FCI Q8","FCI",1,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-08","FCI Q8","FCI",4,"AC-1","Correct"
"GPT-5.5","FCI-08","FCI Q8","FCI",4,"AC-1","Correct"
"Claude Opus 4.6","FCI-08","FCI Q8","FCI",2,"AC-1","Correct"
"GPT-5.5","FCI-08","FCI Q8","FCI",2,"AC-1","Correct"
"GPT-5.5","FCI-08","FCI Q8","FCI",3,"AC-1","Correct"
"Kimi K2.6","FCI-08","FCI Q8","FCI",3,"AC-1","Correct"
"GPT-5.5","FCI-08","FCI Q8","FCI",1,"AC-1","Correct"
"Kimi K2.6","FCI-08","FCI Q8","FCI",1,"AC-1","Correct"
"Claude Opus 4.6","FCI-08","FCI Q8","FCI",1,"AC-1","Correct"
"Kimi K2.6","FCI-08","FCI Q8","FCI",2,"AC-3","DNF"
"Claude Opus 4.6","FCI-12","FCI Q12","FCI",4,"AC-1","Correct"
"Claude Opus 4.6","FCI-12","FCI Q12","FCI",3,"AC-1","Correct"
"Claude Opus 4.6","FCI-12","FCI Q12","FCI",2,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-12","FCI Q12","FCI",3,"AC-1","Correct"
"Claude Opus 4.6","FCI-12","FCI Q12","FCI",5,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-12","FCI Q12","FCI",5,"AC-1","Correct"
"Gemini 3.1 Pro Preview","FCI-12","FCI Q12","FCI",2,"AC-1","Correct"
