"Model","Item ID","Item Label","Inventory","Correct Runs","Incorrect Runs","DNF Runs","Completed Runs","Distinct Response Classes","Inconsistent Series","Issue Series","Majority Outcome"
"Kimi K2.6","FCI-01","FCI Q1","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-02","FCI Q2","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-03","FCI Q3","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-04","FCI Q4","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-05","FCI Q5","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-06","FCI Q6","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-07","FCI Q7","FCI",2,3,0,5,2,"yes","yes","Completed wrong"
"Kimi K2.6","FCI-08","FCI Q8","FCI",3,0,2,3,1,"no","yes","Correct"
"Kimi K2.6","FCI-09","FCI Q9","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-10","FCI Q10","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-11","FCI Q11","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-12","FCI Q12","FCI",1,4,0,5,2,"yes","yes","Completed wrong"
"Kimi K2.6","FCI-13","FCI Q13","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-14","FCI Q14","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-15","FCI Q15","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-16","FCI Q16","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-17","FCI Q17","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-18","FCI Q18","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-19","FCI Q19","FCI",0,0,5,0,0,"no","yes","Unresolved"
"Kimi K2.6","FCI-20","FCI Q20","FCI",0,4,1,4,1,"no","yes","Completed wrong"
"Kimi K2.6","FCI-21","FCI Q21","FCI",0,5,0,5,1,"no","yes","Completed wrong"
"Kimi K2.6","FCI-22","FCI Q22","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-23","FCI Q23","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-24","FCI Q24","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-25","FCI Q25","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-26","FCI Q26","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-27","FCI Q27","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-28","FCI Q28","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-29","FCI Q29","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","FCI-30","FCI Q30","FCI",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-01","BEMA Q1","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-02","BEMA Q2","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-03","BEMA Q3","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-04","BEMA Q4","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-05","BEMA Q5","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-06","BEMA Q6","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-07","BEMA Q7","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-08","BEMA Q8","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-09","BEMA Q9","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-10","BEMA Q10","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-11","BEMA Q11","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-12","BEMA Q12","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-13","BEMA Q13","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-14","BEMA Q14","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-15","BEMA Q15","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-16","BEMA Q16","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-17","BEMA Q17","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-18","BEMA Q18","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-19","BEMA Q19","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-20","BEMA Q20","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-21","BEMA Q21","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-22","BEMA Q22","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-23","BEMA Q23","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-24","BEMA Q24","BEMA",2,0,3,2,1,"no","yes","Correct"
"Kimi K2.6","BEMA-25","BEMA Q25","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-26","BEMA Q26","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-27","BEMA Q27","BEMA",5,0,0,5,1,"no","no","Correct"
"Kimi K2.6","BEMA-28","BEMA Q28","BEMA",3,2,0,5,2,"yes","yes","Correct"
"Kimi K2.6","BEMA-29","BEMA Q29","BEMA",5,0,0,5,1,"no","no","Correct"
