"Model","Item ID","Item Label","Data Stage","Run","Outcome","Main Majority","Prompted Self-Review Majority","Majority Transition"
"Kimi K2.6","FCI-07","FCI Q7","main item",1,"Incorrect","W","C","W→C"
"Kimi K2.6","FCI-07","FCI Q7","main item",2,"Incorrect","W","C","W→C"
"Kimi K2.6","FCI-07","FCI Q7","main item",3,"Correct","W","C","W→C"
"Kimi K2.6","FCI-07","FCI Q7","main item",4,"Correct","W","C","W→C"
"Kimi K2.6","FCI-07","FCI Q7","main item",5,"Incorrect","W","C","W→C"
"Kimi K2.6","FCI-07","FCI Q7","prompted self-review probe",1,"Correct","W","C","W→C"
"Kimi K2.6","FCI-07","FCI Q7","prompted self-review probe",2,"Correct","W","C","W→C"
"Kimi K2.6","FCI-07","FCI Q7","prompted self-review probe",3,"Correct","W","C","W→C"
"Kimi K2.6","FCI-07","FCI Q7","prompted self-review probe",4,"Correct","W","C","W→C"
"Kimi K2.6","FCI-07","FCI Q7","prompted self-review probe",5,"Correct","W","C","W→C"
"Kimi K2.6","FCI-12","FCI Q12","main item",1,"Correct","W","W","W→W"
"Kimi K2.6","FCI-12","FCI Q12","main item",2,"Incorrect","W","W","W→W"
"Kimi K2.6","FCI-12","FCI Q12","main item",3,"Incorrect","W","W","W→W"
"Kimi K2.6","FCI-12","FCI Q12","main item",4,"Incorrect","W","W","W→W"
"Kimi K2.6","FCI-12","FCI Q12","main item",5,"Incorrect","W","W","W→W"
"Kimi K2.6","FCI-12","FCI Q12","prompted self-review probe",1,"Incorrect","W","W","W→W"
"Kimi K2.6","FCI-12","FCI Q12","prompted self-review probe",2,"Incorrect","W","W","W→W"
"Kimi K2.6","FCI-12","FCI Q12","prompted self-review probe",3,"Incorrect","W","W","W→W"
"Kimi K2.6","FCI-12","FCI Q12","prompted self-review probe",4,"Incorrect","W","W","W→W"
"Kimi K2.6","FCI-12","FCI Q12","prompted self-review probe",5,"Incorrect","W","W","W→W"
"Kimi K2.6","BEMA-28","BEMA Q28","main item",1,"Correct","C","C","C→C"
"Kimi K2.6","BEMA-28","BEMA Q28","main item",2,"Incorrect","C","C","C→C"
"Kimi K2.6","BEMA-28","BEMA Q28","main item",3,"Correct","C","C","C→C"
"Kimi K2.6","BEMA-28","BEMA Q28","main item",4,"Correct","C","C","C→C"
"Kimi K2.6","BEMA-28","BEMA Q28","main item",5,"Incorrect","C","C","C→C"
