"Model","Item ID","Item Label","Main Correct Runs","Prompted Self-Review Correct Runs","Main Majority","Prompted Self-Review Majority","Majority Transition"
"Kimi K2.6","FCI-07","FCI Q7",2,5,"W","C","W→C"
"Kimi K2.6","FCI-12","FCI Q12",1,0,"W","W","W→W"
"Kimi K2.6","BEMA-28","BEMA Q28",3,5,"C","C","C→C"
"Kimi K2.6","TCE-04","TCE Q4",4,5,"C","C","C→C"
"GPT-5.5","FCI-21","FCI Q21",4,2,"C","W","C→W"
"GPT-5.5","TCE-21","TCE Q21",1,2,"W","W","W→W"
"Gemini 3.1 Pro Preview","FCI-20","FCI Q20",2,3,"W","C","W→C"
"Claude Opus 4.6","FCI-14","FCI Q14",5,5,"C","C","C→C"
"Claude Opus 4.6","FCI-20","FCI Q20",0,0,"W","W","W→W"
"Claude Opus 4.6","FCI-26","FCI Q26",3,4,"C","C","C→C"
"Claude Opus 4.6","FCI-29","FCI Q29",4,5,"C","C","C→C"
"Claude Opus 4.6","BEMA-04","BEMA Q4",3,2,"C","W","C→W"
"Claude Opus 4.6","BEMA-10","BEMA Q10",0,0,"W","W","W→W"
