variant_id,source_item_id,inventory,representation_type
V-001,BEMA-03,BEMA,fig_decor
V-002,BEMA-04,BEMA,fig_decor
V-003,BEMA-08,BEMA,fig_decor
V-004,BEMA-09,BEMA,fig_decor
V-005,BEMA-19,BEMA,text
V-006,BEMA-24,BEMA,fig_spatial
V-007,BEMA-26,BEMA,fig_decor
V-008,BEMA-29,BEMA,fig_decor
V-009,FCI-02,FCI,text
V-010,FCI-05,FCI,fig_decor
V-011,FCI-07,FCI,fig_spatial
V-012,FCI-10,FCI,fig_decor
V-013,FCI-15,FCI,fig_decor
V-014,FCI-19,FCI,fig_spatial
V-015,FCI-24,FCI,fig_decor
V-016,FCI-27,FCI,text
V-017,FCI-30,FCI,text
V-018,TCE-01,TCE,text
V-019,TCE-02,TCE,text
V-020,TCE-05,TCE,text
V-021,TCE-07,TCE,text
V-022,TCE-09,TCE,text
V-023,TCE-12,TCE,text
V-024,TCE-19,TCE,text
V-025,TCE-21,TCE,text
