variant_id,reviewer_1_unique_defensible_answer,reviewer_2_G1,reviewer_2_G2,reviewer_2_G3,reviewer_2_G4,reviewer_2_G5,final_status
V-001,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-002,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-003,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-004,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-005,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-006,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-007,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-008,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-009,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-010,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-011,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-012,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-013,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-014,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-015,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-016,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-017,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-018,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-019,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-020,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-021,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-022,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-023,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-024,yes,pass,pass,pass,pass,pass,approved_for_deployment
V-025,yes,pass,pass,pass,pass,pass,approved_for_deployment
