source_item_id,inventory,representation_type,initial_kimi_recall_tier
BEMA-01,BEMA,fig_decor,NONE
BEMA-02,BEMA,fig_decor,NONE
BEMA-03,BEMA,fig_decor,NONE
BEMA-04,BEMA,fig_decor,EPISODIC
BEMA-05,BEMA,fig_decor,EPISODIC
BEMA-06,BEMA,fig_decor,MEM_ANS
BEMA-07,BEMA,fig_decor,GENRE
BEMA-08,BEMA,fig_decor,GENRE
BEMA-09,BEMA,fig_decor,NONE
BEMA-10,BEMA,fig_decor,SRC
BEMA-11,BEMA,fig_decor,NONE
BEMA-12,BEMA,fig_decor,SRC
BEMA-13,BEMA,fig_decor,NONE
BEMA-14,BEMA,fig_decor,NONE
BEMA-15,BEMA,fig_decor,NONE
BEMA-16,BEMA,fig_decor,NONE
BEMA-17,BEMA,fig_decor,EPISODIC
BEMA-18,BEMA,fig_decor,MEM_ANS
BEMA-19,BEMA,text,NONE
BEMA-20,BEMA,fig_decor,NONE
BEMA-21,BEMA,fig_decor,GENRE
BEMA-22,BEMA,fig_decor,GENRE
BEMA-23,BEMA,fig_decor,GENRE
BEMA-24,BEMA,fig_spatial,NONE
BEMA-25,BEMA,fig_decor,NONE
BEMA-26,BEMA,fig_decor,NONE
BEMA-27,BEMA,fig_decor,NONE
BEMA-28,BEMA,fig_decor,GENRE
BEMA-29,BEMA,fig_decor,MEM_ANS
BEMA-30,BEMA,fig_decor,EPISODIC
BEMA-31,BEMA,fig_decor,MEM_ANS
FCI-01,FCI,text,MEM_ANS
FCI-02,FCI,text,SRC
FCI-03,FCI,text,MEM_ANS
FCI-04,FCI,text,NONE
FCI-05,FCI,fig_decor,MEM_ANS
FCI-06,FCI,fig_decor,MEM_ANS
FCI-07,FCI,fig_spatial,MEM_ANS
FCI-08,FCI,fig_decor,MEM_ANS
FCI-09,FCI,fig_decor,GENRE
FCI-10,FCI,fig_decor,MEM_ANS
FCI-11,FCI,fig_decor,MEM_ANS
FCI-12,FCI,fig_spatial,MEM_ANS
FCI-13,FCI,text,GENRE
FCI-14,FCI,fig_spatial,MEM_ANS
FCI-15,FCI,fig_decor,NONE
FCI-16,FCI,fig_decor,SRC
FCI-17,FCI,fig_decor,MEM_ANS
FCI-18,FCI,fig_decor,MEM_ANS
FCI-19,FCI,fig_spatial,NONE
FCI-20,FCI,fig_spatial,SRC
FCI-21,FCI,fig_spatial,GENRE
FCI-22,FCI,fig_decor,MEM_ANS
FCI-23,FCI,fig_decor,MEM_ANS
FCI-24,FCI,fig_decor,SRC
FCI-25,FCI,text,NONE
FCI-26,FCI,text,MEM_ANS
FCI-27,FCI,text,MEM_ANS
FCI-28,FCI,fig_decor,GENRE
FCI-29,FCI,text,MEM_ANS
FCI-30,FCI,text,NONE
TCE-01,TCE,text,EPISODIC
TCE-02,TCE,text,GENRE
TCE-03,TCE,text,NONE
TCE-04,TCE,text,MEM_ANS
TCE-05,TCE,text,EPISODIC
TCE-06,TCE,text,SRC
TCE-07,TCE,text,NONE
TCE-08,TCE,text,NONE
TCE-09,TCE,text,SRC
TCE-10,TCE,text,GENRE
TCE-11,TCE,text,SRC
TCE-12,TCE,text,SRC
TCE-13,TCE,text,NONE
TCE-14,TCE,text,SRC
TCE-15,TCE,text,MEM_ANS
TCE-16,TCE,text,GENRE
TCE-17,TCE,text,GENRE
TCE-18,TCE,text,SRC
TCE-19,TCE,text,NONE
TCE-20,TCE,text,MEM_ANS
TCE-21,TCE,text,MEM_ANS
TCE-22,TCE,text,EPISODIC
TCE-23,TCE,text,EPISODIC
TCE-24,TCE,text,SRC
TCE-25,TCE,text,EPISODIC
TCE-26,TCE,text,GENRE
