source_item_id,inventory,representation_type,initial_kimi_recall_tier
BEMA-03,BEMA,fig_decor,NONE
BEMA-04,BEMA,fig_decor,EPISODIC
BEMA-08,BEMA,fig_decor,GENRE
BEMA-09,BEMA,fig_decor,NONE
BEMA-19,BEMA,text,NONE
BEMA-24,BEMA,fig_spatial,NONE
BEMA-26,BEMA,fig_decor,NONE
BEMA-29,BEMA,fig_decor,MEM_ANS
FCI-02,FCI,text,SRC
FCI-05,FCI,fig_decor,MEM_ANS
FCI-07,FCI,fig_spatial,MEM_ANS
FCI-10,FCI,fig_decor,MEM_ANS
FCI-15,FCI,fig_decor,NONE
FCI-19,FCI,fig_spatial,NONE
FCI-24,FCI,fig_decor,SRC
FCI-27,FCI,text,MEM_ANS
FCI-30,FCI,text,NONE
TCE-01,TCE,text,EPISODIC
TCE-02,TCE,text,GENRE
TCE-05,TCE,text,EPISODIC
TCE-07,TCE,text,NONE
TCE-09,TCE,text,SRC
TCE-12,TCE,text,SRC
TCE-19,TCE,text,NONE
TCE-21,TCE,text,MEM_ANS
